dataset,model,block,bandwidth_mbps,dag_bytes,chain_bytes,saved_bytes,size_saved_pct,dag_serialize_ms,chain_serialize_ms,saved_serialize_ms,dag_transfer_ms,chain_transfer_ms,saved_transfer_ms,dag_total_ms,chain_total_ms,saved_total_ms,total_saved_pct
imagenet100,resnet50,layer1.0,1.0,6422528,3211264,3211264,50.0,3.4643,1.7135,1.7508,51382.224,25692.112,25690.112,51385.6883,25693.8255,25691.8628,50.0
imagenet100,resnet50,layer1.0,10.0,6422528,3211264,3211264,50.0,3.4643,1.7135,1.7508,5140.0224,2571.0112,2569.0112,5143.4867,2572.7247,2570.762,49.98
imagenet100,resnet50,layer1.0,100.0,6422528,3211264,3211264,50.0,3.4643,1.7135,1.7508,515.8022,258.9011,256.9011,519.2665,260.6147,258.6519,49.81
imagenet100,resnet50,layer1.1,1.0,6422528,3211264,3211264,50.0,3.2632,1.6291,1.6341,51382.224,25692.112,25690.112,51385.4872,25693.7411,25691.7461,50.0
imagenet100,resnet50,layer1.1,10.0,6422528,3211264,3211264,50.0,3.2632,1.6291,1.6341,5140.0224,2571.0112,2569.0112,5143.2856,2572.6403,2570.6453,49.98
imagenet100,resnet50,layer1.1,100.0,6422528,3211264,3211264,50.0,3.2632,1.6291,1.6341,515.8022,258.9011,256.9011,519.0654,260.5302,258.5352,49.81
imagenet100,resnet50,layer1.2,1.0,6422528,3211264,3211264,50.0,3.331,1.7081,1.6229,51382.224,25692.112,25690.112,51385.555,25693.8201,25691.7349,50.0
imagenet100,resnet50,layer1.2,10.0,6422528,3211264,3211264,50.0,3.331,1.7081,1.6229,5140.0224,2571.0112,2569.0112,5143.3534,2572.7193,2570.6341,49.98
imagenet100,resnet50,layer1.2,100.0,6422528,3211264,3211264,50.0,3.331,1.7081,1.6229,515.8022,258.9011,256.9011,519.1332,260.6092,258.524,49.8
imagenet100,resnet50,layer2.0,1.0,3211264,1605632,1605632,50.0,1.7353,0.8646,0.8706,25692.112,12847.056,12845.056,25693.8473,12847.9206,12845.9266,50.0
imagenet100,resnet50,layer2.0,10.0,3211264,1605632,1605632,50.0,1.7353,0.8646,0.8706,2571.0112,1286.5056,1284.5056,2572.7465,1287.3702,1285.3762,49.96
imagenet100,resnet50,layer2.0,100.0,3211264,1605632,1605632,50.0,1.7353,0.8646,0.8706,258.9011,130.4506,128.4506,260.6364,131.3152,129.3212,49.62
imagenet100,resnet50,layer2.1,1.0,3211264,1605632,1605632,50.0,1.7643,0.8663,0.898,25692.112,12847.056,12845.056,25693.8763,12847.9223,12845.954,50.0
imagenet100,resnet50,layer2.1,10.0,3211264,1605632,1605632,50.0,1.7643,0.8663,0.898,2571.0112,1286.5056,1284.5056,2572.7755,1287.3719,1285.4036,49.96
imagenet100,resnet50,layer2.1,100.0,3211264,1605632,1605632,50.0,1.7643,0.8663,0.898,258.9011,130.4506,128.4506,260.6654,131.3168,129.3486,49.62
imagenet100,resnet50,layer2.2,1.0,3211264,1605632,1605632,50.0,1.729,0.8649,0.8641,25692.112,12847.056,12845.056,25693.841,12847.9209,12845.9201,50.0
imagenet100,resnet50,layer2.2,10.0,3211264,1605632,1605632,50.0,1.729,0.8649,0.8641,2571.0112,1286.5056,1284.5056,2572.7402,1287.3705,1285.3697,49.96
imagenet100,resnet50,layer2.2,100.0,3211264,1605632,1605632,50.0,1.729,0.8649,0.8641,258.9011,130.4506,128.4506,260.6301,131.3154,129.3147,49.62
imagenet100,resnet50,layer2.3,1.0,3211264,1605632,1605632,50.0,1.7899,0.8656,0.9243,25692.112,12847.056,12845.056,25693.9019,12847.9216,12845.9803,50.0
imagenet100,resnet50,layer2.3,10.0,3211264,1605632,1605632,50.0,1.7899,0.8656,0.9243,2571.0112,1286.5056,1284.5056,2572.8011,1287.3712,1285.4299,49.96
imagenet100,resnet50,layer2.3,100.0,3211264,1605632,1605632,50.0,1.7899,0.8656,0.9243,258.9011,130.4506,128.4506,260.691,131.3162,129.3749,49.63
imagenet100,resnet50,layer3.0,1.0,1605632,802816,802816,50.0,0.9531,0.474,0.4791,12847.056,6424.528,6422.528,12848.0091,6425.002,6423.0071,49.99
imagenet100,resnet50,layer3.0,10.0,1605632,802816,802816,50.0,0.9531,0.474,0.4791,1286.5056,644.2528,642.2528,1287.4587,644.7268,642.7319,49.92
imagenet100,resnet50,layer3.0,100.0,1605632,802816,802816,50.0,0.9531,0.474,0.4791,130.4506,66.2253,64.2253,131.4036,66.6993,64.7044,49.24
imagenet100,resnet50,layer3.1,1.0,1605632,802816,802816,50.0,0.9532,0.4734,0.4797,12847.056,6424.528,6422.528,12848.0092,6425.0014,6423.0077,49.99
imagenet100,resnet50,layer3.1,10.0,1605632,802816,802816,50.0,0.9532,0.4734,0.4797,1286.5056,644.2528,642.2528,1287.4588,644.7262,642.7325,49.92
imagenet100,resnet50,layer3.1,100.0,1605632,802816,802816,50.0,0.9532,0.4734,0.4797,130.4506,66.2253,64.2253,131.4037,66.6987,64.705,49.24
imagenet100,resnet50,layer3.2,1.0,1605632,802816,802816,50.0,0.9517,0.4736,0.4781,12847.056,6424.528,6422.528,12848.0077,6425.0016,6423.0061,49.99
imagenet100,resnet50,layer3.2,10.0,1605632,802816,802816,50.0,0.9517,0.4736,0.4781,1286.5056,644.2528,642.2528,1287.4573,644.7264,642.7309,49.92
imagenet100,resnet50,layer3.2,100.0,1605632,802816,802816,50.0,0.9517,0.4736,0.4781,130.4506,66.2253,64.2253,131.4023,66.6989,64.7034,49.24
imagenet100,resnet50,layer3.3,1.0,1605632,802816,802816,50.0,0.9529,0.5081,0.4448,12847.056,6424.528,6422.528,12848.0089,6425.0361,6422.9728,49.99
imagenet100,resnet50,layer3.3,10.0,1605632,802816,802816,50.0,0.9529,0.5081,0.4448,1286.5056,644.2528,642.2528,1287.4585,644.7609,642.6976,49.92
imagenet100,resnet50,layer3.3,100.0,1605632,802816,802816,50.0,0.9529,0.5081,0.4448,130.4506,66.2253,64.2253,131.4035,66.7333,64.6701,49.21
imagenet100,resnet50,layer3.4,1.0,1605632,802816,802816,50.0,1.038,0.4725,0.5655,12847.056,6424.528,6422.528,12848.094,6425.0005,6423.0935,49.99
imagenet100,resnet50,layer3.4,10.0,1605632,802816,802816,50.0,1.038,0.4725,0.5655,1286.5056,644.2528,642.2528,1287.5436,644.7253,642.8183,49.93
imagenet100,resnet50,layer3.4,100.0,1605632,802816,802816,50.0,1.038,0.4725,0.5655,130.4506,66.2253,64.2253,131.4886,66.6978,64.7908,49.27
imagenet100,resnet50,layer3.5,1.0,1605632,802816,802816,50.0,0.9483,0.4712,0.477,12847.056,6424.528,6422.528,12848.0043,6424.9992,6423.005,49.99
imagenet100,resnet50,layer3.5,10.0,1605632,802816,802816,50.0,0.9483,0.4712,0.477,1286.5056,644.2528,642.2528,1287.4539,644.724,642.7298,49.92
imagenet100,resnet50,layer3.5,100.0,1605632,802816,802816,50.0,0.9483,0.4712,0.477,130.4506,66.2253,64.2253,131.3988,66.6965,64.7023,49.24
imagenet100,resnet50,layer4.0,1.0,802816,401408,401408,50.0,0.5407,0.2673,0.2734,6424.528,3213.264,3211.264,6425.0687,3213.5313,3211.5374,49.98
imagenet100,resnet50,layer4.0,10.0,802816,401408,401408,50.0,0.5407,0.2673,0.2734,644.2528,323.1264,321.1264,644.7935,323.3937,321.3998,49.85
imagenet100,resnet50,layer4.0,100.0,802816,401408,401408,50.0,0.5407,0.2673,0.2734,66.2253,34.1126,32.1126,66.766,34.3799,32.3861,48.51
imagenet100,resnet50,layer4.1,1.0,802816,401408,401408,50.0,0.5378,0.2684,0.2693,6424.528,3213.264,3211.264,6425.0658,3213.5324,3211.5333,49.98
imagenet100,resnet50,layer4.1,10.0,802816,401408,401408,50.0,0.5378,0.2684,0.2693,644.2528,323.1264,321.1264,644.7906,323.3948,321.3957,49.84
imagenet100,resnet50,layer4.1,100.0,802816,401408,401408,50.0,0.5378,0.2684,0.2693,66.2253,34.1126,32.1126,66.763,34.3811,32.382,48.5
imagenet100,resnet50,layer4.2,1.0,802816,401408,401408,50.0,0.5353,0.2675,0.2678,6424.528,3213.264,3211.264,6425.0633,3213.5315,3211.5318,49.98
imagenet100,resnet50,layer4.2,10.0,802816,401408,401408,50.0,0.5353,0.2675,0.2678,644.2528,323.1264,321.1264,644.7881,323.3939,321.3942,49.84
imagenet100,resnet50,layer4.2,100.0,802816,401408,401408,50.0,0.5353,0.2675,0.2678,66.2253,34.1126,32.1126,66.7605,34.3801,32.3804,48.5
